customer_id,cluster
1,1
2,1
3,1
4,2
5,0
6,1
7,1
8,1
9,1
10,1
11,1
12,0
13,0
14,1
15,2
16,1
17,0
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,0
30,0
31,1
32,0
33,1
34,0
35,1
36,0
37,1
38,1
39,1
40,0
41,1
42,1
43,1
44,1
45,1
46,2
47,1
48,0
49,1
50,2
51,1
52,0
53,1
54,1
55,1
56,1
57,1
58,0
59,1
60,1
61,1
62,1
63,1
64,0
65,1
66,0
67,1
68,0
69,0
70,1
71,1
72,0
73,1
74,1
75,1
76,2
77,1
78,2
79,1
80,1
81,1
82,0
83,1
84,0
85,2
86,2
87,0
88,1
89,1
90,1
91,0
92,2
93,1
94,1
95,0
96,2
97,1
98,0
99,1
100,1
101,1
102,0
103,1
104,0
105,0
106,1
107,0
108,2
109,1
110,1
111,0
112,1
113,0
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,2
124,1
125,1
126,2
127,2
128,1
129,2
130,2
131,1
132,1
133,1
134,0
135,1
136,1
137,1
138,0
139,1
140,0
141,1
142,1
143,0
144,1
145,1
146,0
147,2
148,2
149,1
150,2
151,1
152,1
153,0
154,1
155,0
156,1
157,2
158,0
159,1
160,0
161,1
162,1
163,1
164,2
165,1
166,1
167,1
168,0
169,1
170,1
171,1
172,0
173,0
174,1
175,1
176,0
177,2
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,0
188,1
189,1
190,1
191,2
192,0
193,0
194,0
195,1
196,1
197,0
198,0
199,1
200,2
201,1
202,1
203,0
204,1
205,2
206,1
207,2
208,1
209,1
210,0
211,1
212,1
213,2
214,0
215,1
216,0
217,1
218,2
219,2
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,0
228,1
229,0
230,1
231,1
232,1
233,2
234,1
235,1
236,2
237,2
238,2
239,1
240,1
241,1
242,1
243,1
244,0
245,1
246,1
247,1
248,0
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,2
257,1
258,0
259,1
260,1
261,1
262,0
263,0
264,1
265,1
266,1
267,1
268,2
269,0
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,0
280,0
281,0
282,1
283,1
284,1
285,0
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,2
295,2
296,1
297,1
298,0
299,1
300,1
301,0
302,0
303,2
304,1
305,1
306,2
307,2
308,2
309,0
310,1
311,1
312,1
313,1
314,1
315,2
316,0
317,1
318,1
319,1
320,0
321,1
322,0
323,1
324,0
325,1
326,0
327,2
328,1
329,2
330,1
331,1
332,1
333,1
334,1
335,1
336,0
337,2
338,1
339,1
340,1
341,1
342,0
343,1
344,1
345,0
346,1
347,1
348,1
349,0
350,0
351,0
352,1
353,1
354,1
355,1
356,0
357,1
358,2
359,2
360,2
361,1
362,1
363,1
364,1
365,1
366,0
367,1
368,0
369,1
370,2
371,0
372,1
373,1
374,1
375,1
376,1
377,1
378,0
379,2
380,1
381,1
382,2
383,1
384,1
385,2
386,1
387,1
388,0
389,2
390,1
391,0
392,1
393,2
394,0
395,0
396,0
397,1
398,0
399,1
400,1
401,1
402,1
403,1
404,0
405,0
406,1
407,1
408,1
409,0
410,0
411,0
412,1
413,1
414,2
415,0
416,1
417,1
418,1
419,0
420,2
421,1
422,0
423,0
424,0
425,1
426,2
427,1
428,1
429,1
430,0
431,2
432,1
433,1
434,2
435,0
436,0
437,1
438,1
439,0
440,1
441,1
442,1
443,2
444,1
445,2
446,0
447,1
448,1
449,1
450,1
451,1
452,1
453,2
454,2
455,0
456,1
457,1
458,0
459,2
460,0
461,1
462,1
463,1
464,2
465,2
466,0
467,0
468,2
469,0
470,1
471,1
472,0
473,1
474,0
475,1
476,0
477,0
478,1
479,1
480,1
481,1
482,0
483,1
484,0
485,1
486,0
487,1
488,2
489,2
490,1
491,1
492,2
493,1
494,0
495,1
496,2
497,1
498,1
499,1
500,1
501,1
502,2
503,1
504,2
505,1
506,1
507,0
508,2
509,1
510,1
511,2
512,1
513,0
514,1
515,1
516,1
517,1
518,2
519,1
520,1
521,1
522,1
523,0
524,1
525,1
526,1
527,1
528,0
529,0
530,1
531,2
532,0
533,2
534,1
535,2
536,1
537,2
538,1
539,2
540,1
541,1
542,0
543,1
544,1
545,2
546,2
547,1
548,1
549,1
550,1
551,1
552,0
553,1
554,1
555,1
556,1
557,2
558,1
559,2
560,2
561,1
562,1
563,1
564,0
565,0
566,0
567,0
568,0
569,1
570,1
571,2
572,2
573,2
574,1
575,0
576,2
577,0
578,0
579,1
580,1
581,2
582,1
583,1
584,1
585,1
586,2
587,2
588,1
589,0
590,1
591,1
592,2
593,0
594,0
595,1
596,1
597,0
598,1
599,2
600,1
601,2
